Carimbo de data/hora,,Qual é a sua idade?,Qual país você reside?,Qual é a sua afiliação?,Qual é o seu nível de educação?,Qual é a sua principal ocupação?,Qual é o seu gênero?,Qual é a sua experiência profissional na Academia?,Qual é a sua experiência profissional na Indústria?,Qual é a sua experiencia com modelos estáticos?,Qual é a sua experiência com modelos executáveis?,"Quando a CAPTCHA falhar, o usuário será capaz de postar seu comentário?",Quão confiante você está sobre sua resposta?,Qual serviço irá publicar os comentários?,Quão confiante você está sobre sua resposta?,Você sentiu alguma dificuldade com o modelo?,"Você consegue, mentalmente, executar/depurar o modelo?","Você sentiu alguma dificuldade? Por favor, conte-nos.",O que acontece se o método saveOrUpdate() lançar uma exceção?,Quão confiante você está sobre sua resposta?,O método close() será chamado se qualquer exceção for lançada?,Quão confiante você está sobre sua resposta?,Você sentiu alguma dificuldade para entender o modelo?,"Você consegue, mentalmente, executar/depurar o modelo?","Você sentiu alguma dificuldade? Por favor, conte-nos!","Na sua opinião, quais foram os pontos fortes sobre o uso de modelos executáveis para representar os casos?","Na sua opinião, quais foram os pontos fracos sobre o uso de modelos executáveis para representar os casos?",O que poderia ser acrescentado para a percepção visual dos modelos executáveis para melhorar e/ou enriquecer informações úteis para um engenheiro de software? ,Quais oportunidades de aplicação você consegue vislumbrar para o uso de modelos executáveis em seus projetos de engenharia de software?,Você sentiu alguma dificuldade ou problema neste survey?
14/03/2020 00:53:45,Eu concordo,32,Brasil,UTFPR,Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu uso raramente,Eu uso raramente,Não,4,<<service>> : PluckService,3,4,4,"Eu explicaria mais o cenário, o fluxo de execução e o que esperar. A semântica da interação entre serviços . Compreendi que são retornos e chamadas de funções, mas isso não estava explicito. Compreender um modelo não pode ser mais complexo que olhar uma função e ver o que está acontecendo - serviço a serviço. Eu faria uma descrição um pouco mais detalhada sobre cada serviço e cada interação. Se você notar, a interação nada mais é do que um autômato. Um modelo tem uma semântica que embora trivial para quem elaborou o mesmo pode ser complexo para quem está com a cabeça em contextos diversos. Talvez uma figura com o fluxo de sucesso e de falha estilo fluxograma ficaria mais compreensível. Isso não tiraria a ideia do uso do modelo para o problema, apenas complementaria ao meu ver. Na questão que você se refere ao captcha, suponho que o que você se refere com captcha seja o DWR Service. Isso não está explicito, creio que haja uma validação ali, mas não está explicito que é um captcha. Poderia ser outra coisa, por exemplo.",Tentará executar o comando rollback(),4,Sim,4,4,4,"Você se refere ao método Close, creio que seja o que você traduziu como fechar. ","Não foi tão complexo, compreendi que há um fluxo de execução e diversos métodos são chamados. A ordem de chamamento desse métodos já estava predefinida, imagino. O modelo auxiliou na compreensão do fluxo de execução. Não sei dizer se em um cenário real de desenvolvimento isso seria viável. Digo, desenvolver usando apenas o modelo. Não se sabe o que está encapsulado nos serviços, não se sabe como seria manutenibilidade do fluxo e nem dos próprios modelos. Abordagens dirigidas por modelos fazem com que especifiquemos o domínio, mas dentro do próprio domínio, nem sempre é possível especificar tudo. Por ser específico, a modelagem trata coisas específicas e nem sempre é possível ter um modelo genérico suficiente que cubra todo o domínio. Aí entra a questão da manutenibilidade dos próprios modelos,  mater modelos, as vezes é mais complexo que manter o próprio código gerado por eles. Em cenários reais, seria necessário avaliar a viabilidade prática considerando a característica central dos requisitos dos sistemas modernos: a mudança. Modelos referem-se a abordagens mais planejadas para desenvolvimento. Isso é extremamente complexo de se avaliar e tirar conclusoes que possam ser generalizadas por um caso específico de aplicação de modelos executáveis, sobretudo, considerando que trata de um projeto supostamente individual em cenário acadêmico.","Ponto forte: compreensão facilitada do fluxo. Ponto fraco: não é possível saber o que há dentro das ""caixas"", uma mudança no cenário, com requisitos não pensados é dificil dizer. Mudança no fluxo, como seria? commits aninhados, como seriam, diversos aspectos entrecortando, como seria? Vê? a medida que o consideramos a complexidade real de um software o modelo deveria ser tão complexo e genericamente suficiente para considerar todos esses cenários que seria mais fácil desenvolver o software utilizando diretamente a linguagem do que desenvolver uma abordagem de modelos para tal. A abordagem se tornaria tão complexa em termos de manutenibilidade e ""genericidade"" que seria extremamente difícil. Ao meu ver, modelos devem ser usados para compreensão de um problema complexo e no contexto de desenvolvimento devem ser associados a abordagens tradicionais e ser feita uma utilização parcial para tirar proveito de suas características de reúso.  ","Como mencionei, o fluxo poderia ser modelado como uma autômato, creio. Já mencionei o que eu melhoraria anteriormente. Cuidado com traduções e com coisas que você acha trivial mas não estão explicitas para seu público alvo. ","Raríssimas. O contexto de desenvolvimento de software no Brasil é um contexto ágil. De acordo com a pesquisa “Mercado Brasileiro de Software e Serviços”, realizada pelo IDC para a Associação Brasileira das Empresas de Software (Abes), daquelas que atuavam no desenvolvimento e produção de software, cerca de 94% são classificadas como micro e pequenas empresas, quando analisadas pelo critério de número de funcionários.

As empresas dedicadas ao desenvolvimento e produção totalizaram 4.408 negócios e podem ser dividas por porte, sendo: micro empresas (45,62%), pequenas empresas (49,02%), média empresas (4,33%) e grandes empresas (1,03%). 

A engenharia de software classifica os modelos de processo e abordagens no que se refere aos requisitos em dois grandes grupos: mais planejados (cenários caricatos: cascata, MDE, linha de produtos) e menos planejados  (métodos ágeis: os requisitos vão sendo descobertos na medida em que o software evolui). O contexto mais planejado, tais como abordagens de linhas de produto e MDE é muito pouco aplicável no contexto de pequenas empresas. A questão do reúso nesse contexto pode ser classificada em desenvolvimento para reúso e com reúso. Eu utilizaria uma abordagem de modelos, apenas se ela permitisse entregar valor para o cliente com o menor custo de tempo e esforço possível. Creio que uma abordagem baseada em frameworks seria imensuravelmente mais ágil. Abordagens dirigidas por modelos não estão maduras o suficiente e há muitas controvérsias sobre sua aplicação no contexto ágil. Uma adoção possível seria para automatizar trabalho muito repetitivo no contexto de desenvolvimento de um produto, como as empresas são de porte micro é complexo mensurar isso no contexto do Brasil.  No contexto do seu trabalho, é complexo encontrar abordagem e comparação com outros métodos para eventualmente se buscar conclusões mais reais. Desenvolvimento com reúso deve ser comparado com desenvolvimento com reúso e desenvolvimento para reúso deve ser comparado com desenvovimento para reúso. São contextos diferentes. Modelos executáveis incluem as duas abordagens. Primeiro desenvolve para reúso (criação da abordagem com modelos), depois desenvolve com reúso (implementação efetiva do software). No contexto de modelos, no entanto, os modelos são o próprio software e, em tese, não se leva em consideração o desenvimento com reúso no que se refere a código gerado. Isso é complexo em projeto real em contexto ágil. Torna-se muito complexo trabalhar sempre em nível meta e manter a própria abordagem de modelos diante da lei número 1 de Lehman: Teoria unificada para evolução do software - Lei da modificação contínua: continuamente modificado ou progressivamente menos satisfatório.

No que se refere a abordagem em si, creio ser extremamente complexo comparar com algo. A avaliação seria mais qualitativa e relacionada a opinião pessoal do DEV. Claro, a partir disso é possível tirar boas conclusões, mas se é objetivo de uma avaliação ser isenta de viés porque seria então sua avaliação dependente de opinião do adotante. Pode ser que você receba respostas do tipo: ajudou na compreensão do problema, ajudou no entendimento do fluxo, ajudou no desenvolvimento com reúso e prejudicou quando se leva em consideracão o desenvolvimento para reúso, mas isso já é sabido sobre os modelos. Eu buscaria por uma conclusão diferente disso. 
",Nenhum problema. Faria algumas das modificações sugeridas e levaria em consideração o contexto real de aplicabilidade prática do método mais planejado no contexto brasileiro. 
17/03/2020 11:49:40,Eu concordo,36,Brasil,UFBA,Estudante de Doutorado,Pesquisador Acadêmico,Feminino,5 anos a 10 anos,15 anos a 20 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Eu não sei,1,Eu não sei,1,1,1,,Eu não sei,1,Sim,1,1,1,,,,,,
17/03/2020 12:34:10,Eu concordo,28,Brasil,ICMC-USP,Estudante de Doutorado,Apenas estudante,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Não,5,<<service>> : PluckService,5,4,3,,Tentará executar o comando rollback(),5,Sim,5,4,2,,"Neste caso, os modelos podem ajudar na compreensão do fluxo de chamadas entre diferentes partes do sistema, o que é útil para facilitar o entendimento de como o sistema funciona e, por consequência, apoiar diversas atividades do processo de desenvolvimento de software.",O esforço extra necessário para gerar os modelos. Deve-se avaliar o custo-benefício de tal técnica.,"Seria legal poder visualizar a call stack com aninhamento das chamadas. Além disso, as animações nem sempre são claras a respeito da comunicação entre os objetos. Talvez seja possível elaborar algo visual baseado no Diagrama de Comunicação da UML para melhorar este ponto.","Essencialmente, pode ser utilizado para facilitar a compreensão geral do sistema e em atividades relacionadas com análise de impacto de mudança, avaliação arquitetural, etc.",Não
17/03/2020 16:51:50,Eu concordo,36,Brasil,UFF,Doutorado,Pesquisador Acadêmico,Feminino,10 anos a 15 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu uso raramente,Não,4,<<service>> : PluckService,3,2,4,"Não conhecia o modelo e seu funcionamento e, como não teve nenhuma explicação preliminar, tive que rever o vídeo algumas vezes para entender como funciona",Tentará executar o comando rollback(),4,Sim,4,4,4,,"Facilidade de visualização do funcionamento
Facilidade para futuras manutenções e verificação do sistema","Demora muito a executar
Às vezes não ficava claro qual bloco estava sendo executado (ficava na dúvida entre dois modelos)","Tentar deixar o modelo que está sendo executado de uma cor diferente... pelo menos no vídeo, em alguns momentos era difícil fazer a distinção
As legendas das saídas também eram pequenas",Sistemas complexos,Não
18/03/2020 12:58:37,Eu concordo,41,Brasil,Unirio ,Estudante de Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,menos de 1 ano,15 anos a 20 anos,Eu nunca usei antes,Eu nunca usei antes,Eu não sei,5,Eu não sei,5,1,1,,Eu não sei,5,Eu não sei,5,1,1,,Não entendi muito bem ,Não entendi muito bem ,Não entendi muito bem ,Não entendi muito bem ,Sim! Não tenho conhecimento sobre o assunto
18/03/2020 20:46:18,Eu concordo,40,Brasil,UNIRIO,Estudante de Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Eu não sei,5,Eu não sei,5,1,1,"Por não dominar o assunto e por inexistir algum exemplo, fica impossível avaliar eficácia do fluxo",Eu não sei,5,Sim,1,1,1,,O Fluxo parece ser promissor e possui similaridade como um depurador de funções,Não é intuitivo e carece de exemplo para ajudar o entendimento.,,,"Videos longos. O ideal seria utilizar versões de no máximo 60 min, em formato acelerado."
19/03/2020 18:47:02,Eu concordo,50,Brasil,Universidade Presbiteriana Mackenzie e Atech Negócios em Tecnologias SA.,Doutorado,Profissional Não-Acadêmico e Pesquisador Acadêmico,Masculino,mais de 20 anos,mais de 20 anos,Eu uso em todos os projetos,Eu faço uso de vez em quando,Não,5,<<service>> : PluckService,5,5,5,,Tentará executar o comando commit(),5,Sim,5,1,4,"Sim, neste caso o comportamento de multiplas transações em uma mesma sessão não foi apresentado na simulação, sendo difícil visualizar o comportamento típico em que uma exceção lançada em uma sessão força/exige  o encerramento da sessão.","Como em qualquer simulação/execução, podemos observar casos típicos. A visualização da execução é um recurso interessante mas muito limitado, pois a exploração exaustiva da solução demanda a preparação e execução de um conjunto grande de casos, pois a observação de um caso de sucesso não permite extrapolar o resultado para outros casos em que deveríamos ter sucesso. Conhecendo as diversas combinações de estados e limites, é possível gerar um conjunto grande de cenários de teste e executa-los de forma automática cobrindo um espaço de solução considerável.","Os estados das entidades de interesse (no primeiro caso, uma post de comentário e no segundo caso, a transação que exige o acesso ao banco de dados) precisam ser sintetizados mentalmente baseado no fluxo de chamadas. As regras de negócio não ficam claras.","Uma visão das entidades de interesse em sua máquina de estados, indicando os eventos, guardas e condições que foram ou não foram atendidos para a transição de estados. Esta visualização pode ser dinâmica e sincronizada com a visão de troca de mensagens/eventos entre diferentes módulos do sistema.",Aplicações distribuídas em que os diferentes módulos/subsistemas compartilham estados. Não utilizaria para os casos apresentados. Nestes casos uma boa modelagem de estados representando o ciclo de vida das entidades manipuladas resolveria bem o problema. Um caso interessante seria o de gerenciamento de transações distribuidas.,"As perguntas sobre não saber ou ter certeza, poderiam ser modificadas para não temos informação suficiente ou podemos afirmar com certeza. Mudariam a forma com que as respostas são formuladas.  "
19/03/2020 19:39:13,Eu concordo,20,Brasil,UFG,Estudante de Graduação,Apenas estudante,Masculino,1 ano a 5 anos,menos de 1 ano,Eu uso raramente,Eu nunca usei antes,Não,4,<<service>> : PluckService,4,3,3,,Tentará executar o comando rollback(),4,Eu não sei,4,2,2,,"Mostra como será a execução de um software, seus processos. Facilita a visualização do todo e suas partes. Tornando mais fácil encontrar erros e testar a maioria dos casos de utilização de um software","Para pessoas que estão iniciando na engenharia de software, é um pouco confuso, pois é tudo muito enxuto, sem explicação do que cada parte é. ","Colocar comentários em cada parte, explicando um pouco o que aquilo faz basicamente, e também na execução, explicando a função que está sendo executada. Assim a visualização e o entendimento fica bem mais fácil ","Com modelos executáveis, torna mais fácil a visualização dos processos do software, e isso pode ser útil em uma reunião de equipe, para ser mostrado o que o software deve fazer, assim toda a equipe consegue compreender melhor o que deve ser feito. E também para o cliente, se explicado de forma clara, ele pode validar se é realmente aquilo que ele necessita","Não, foi bem formulado, com a descrição bem feita, e as questões devidamente explicadas e orientadas"
19/03/2020 20:10:18,Eu concordo,23,Brasil,UFG - Soma Contabilidades,Estudante de Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu nunca usei antes,Eu nunca usei antes,Não,4,<<service>> : PluckService,3,5,4,,Tentará executar o comando commit(),4,Sim,4,4,4,"A diferença dos nomes dos métodos neste formulário com os do vídeo, pois no formulário estão em inglês e no vídeo em português e isso pode gerar confusão.",O modelo executável propõe um fluxo de processo que ajuda melhor na compreensão de cada caso.,,Utilizar nomes para os métodos que sejam mais expressivos e menos superficiais,Aplicações grandes e complexas,"Por não conhecer sobre o assunto, demorei um pouco para entender as demonstrações, poderia explicar resumidamente como compreender o modelo seguindo o vídeo."
19/03/2020 20:45:00,Eu concordo,19,Brasil,Universidade Federal de Goiás,Estudante de Graduação,"Estudante, Pesquisador Acadêmico e estagiário",Masculino,1 ano a 5 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Não,3,<<service>> DWRService,4,1,2,Não sei o que cada componente faz exatamente,Tentará executar o comando rollback(),4,Não,4,2,2,,Aumenta rastreabilidade e dependendo da nomenclatura aumenta o entendimento,"É necessário conhecer o que cada componente faz pelo nome, a fim de não ficar perdido",Uma legenda com a função e contexto de cada componente ,Projetos que necessitam de rastreabilidade e testagem pré implantação,
19/03/2020 21:39:38,Eu concordo,24,Brasil,Universidade Federal de Goias,Estudante de Mestrado,Apenas estudante,Masculino,1 ano a 5 anos,Nenhuma,Eu uso raramente,Eu uso raramente,Eu não sei,5,<<service>> : PluckService,3,3,2,,Tentará executar o comando rollback(),3,Não,3,2,2,A dificuldade se encontra pois faz tempo que não estudo sobre UML,,,,,
20/03/2020 01:07:50,Eu concordo,23,Brasil,Unipampa,Graduação,Pesquisador Acadêmico,Masculino,1 ano a 5 anos,menos de 1 ano,Eu uso frequentemente,Eu uso raramente,Não,3,<<service>> : PluckService,4,,2,"Senti que não é muito expressivo, mas talvez seja porque é meu primeiro contado com o modelo. O que quis dizer é que não sei ao certo ainda o que é aqueles paços que acontecem durante a simulação, são os caminhos que o sistema segue em nível de código (Tipo um diagrama de sequencia) ? Mostrar a comunicação das tecnologias envolvidas no projeto ? visualizar as comunicações e relacionamentos dos métodos de cada tecnologia ? 
O que me ajudou muito a entender um pouco foi a descrição do funcionamento do sistema.
Mas acredito que tive essas dificuldades por falta de experiencia minha com estes tipos de modelos.",Tentará executar o comando commit(),4,Sim,4,4,4,,facilita a compreensão de uma equipe para o funcionamento de um sistema. ,"Tive dificuldade para interpretar o que o modelo queria me dizer no primeiro cenário. Já o segundo cenário consegui entender (eu acredito) melhor o que estava acontecendo na simulação. Ou seja, demorei  para interpretar as ações da simulação.","Como comentei anteriormente, demorei para interpretar os acontecimentos da simulação. Acredito que símbolos poderiam ajudar a deixar o modelo mais expressivo. Por exemplo, quando olho para um diagrama de classes da UML olho apenas para os relacionamentos e já sei exatamente o que o modelo quer me dizer, não tenho que ficar pensando. Pois existe seus símbolos, componentes e relacionamentos, o qual cada um tem sua regra e seu objetivo deixando assim o modelo mais expressivo. 
Talvez acrescentar alguns elementos para representar relacionamentos ou até mesmo uma ação talvez ajude.",Criação de casos de testes e ajuda a compreender o funcionamento do sistema ajudando principalmente pessoas que ainda não tem domínio do projeto.,não
20/03/2020 09:33:17,Eu concordo,28,Brasil,UFF,Estudante de Mestrado,Autônomo,Feminino,5 anos a 10 anos,menos de 1 ano,Eu uso raramente,Eu nunca usei antes,Não,2,<<service>> : PluckService,3,3,3,"Creio que a maior dificuldade não esteja no modelo, mas sim no fato de eu não estar familiarizada com o assunto.",Tentará executar o comando rollback(),2,Eu não sei,5,2,2,"Na parte do vídeo em que aparece escrito ""Cenário de Exceção"", não aparece o comando saveOrUpdate(). De outModeloNegocio() vai para outException() e depois um outRollBack. Já no cenário ""Cenário de Violação de Restrições"", temos o saveOrUpdate() e depois o outcommit. Aí fiquei eu dúvida se temos um outRollBack ou um outCommit após uma exceção... ","Uma melhor visualização do processo. O nível de abstração foi elevado, ajudando a entendê-lo.",Gostaria que houvesse mais informações.,Mais informações durante as etapas de execução.,,"Não. O survey está bem estruturado e os vídeos em alta resolução, o que facilita a sua visualização."
20/03/2020 09:41:58,Eu concordo,23,Brasil,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,5 anos a 10 anos,5 anos a 10 anos,Eu faço uso de vez em quando,Eu uso raramente,Não,4,<<service>> : PluckService,3,4,3,,Tentará executar o comando rollback(),4,Não,3,4,4,,A compreensão do modelo torna-se mais clara e didática. ,"No caso da não compreensão imediata do modelo, é preciso repetir a execução desde o começo, uma vez que a requisição pode passar por um serviço mais de uma vez.",Manter um rastro do percurso em cada cenário simulado. Uma mudança de cor para os casos de exceção.,"Documentação, passagem de conhecimento, testes.",Não.
20/03/2020 14:54:04,Eu concordo,35,Brasil,Fiocruz Brasília,Estudante de Mestrado,Analista de Sistemas,Masculino,10 anos a 15 anos,10 anos a 15 anos,Eu uso frequentemente,Eu faço uso de vez em quando,Não,4,:window,2,1,3,a resolução do vídeo deixa difícil a compreensão do cenário do primeiro caso,Tentará executar o comando rollback(),3,Não,3,3,3,,"modelos executáveis especificam melhor o software, fazendo possível uma melhor compreensão do seu funcionamento. ","Não encontrei pontos fracos, mas a resolução baixa dos vídeos dificultaram a análise. ",Poderia ser mais intuitivo,"Com modelos executáveis poderemos otimizar todo o processo do software, obtendo resultados satisfatórios. ",Não
20/03/2020 21:14:39,Eu concordo,43,BRASIL,Universidade Federal do Ceará,Doutorado,Pesquisador Acadêmico,Masculino,10 anos a 15 anos,5 anos a 10 anos,Eu uso frequentemente,Eu uso raramente,Eu não sei,5,Eu não sei,5,2,2,"Sinceramente não compreendi o modelo. Vendo a animação, fiquei em dúvida se eu teria que pensar de maneira estática em alguns pontos (não tenho experiência em modelos em execução), e isso me fez me perder no raciocínio. Para quem não conhece a tecnologia, especificamente neste caso acredito que não vá entender muita coisa.",Tentará executar o comando commit(),4,Sim,4,3,3,"Eu achei esse modelo mais natural do que o anterior. Entretanto, como é uma animação, eu senti falta de rever situações anteriores, como fluxos de exceção, para poder comparar. Esse modelo parecia mais um ""diagrama de sequencia em execução"" que o anterior.","Na verdade não tenho exatamente o conhecimento / conceito de modelos executáveis em mente. Para sistemas simples eles auxiliariam. Para aulas, para demonstrações em alto nível também ajudariam.","Para sistemas / componentes / funcionalidades complexas eles ""perderiam a memória"". Eu me confundi e meio que perdi tempo algumas vezes tendo que voltar, o que não ocorre com uma imagem.","Numeração em níveis diferentes, tipo 1, 1.1, 2.4.3, algo assim para o leitor se situar como se fosse a linha de vida de um diagrama de sequencia","Nesse momento para ensino de modelos simples, para reforçar o entendimento de funcionalidades.","Senti na nomenclatura / descrição do primeiro cenário. Eu me confundi e não ficou claro para mim. Fora isso, as questões foram todas entendíveis."
20/03/2020 21:45:07,Eu concordo,22,Brasil,UFC,Estudante de Graduação,Apenas estudante,Masculino,1 ano a 5 anos,menos de 1 ano,Eu uso frequentemente,Eu nunca usei antes,Não,3,<<service>> DWRService,2,3,2,É a primeira vez que vejo algo do tipo,Tentará executar o comando rollback(),4,Sim,3,3,2,,Talvez seja fácil de entender pra quem esteja familiarizado com essa abordagem.,Não sei ao certo,Maior descrição do que está acontecendo,,Só de entender os modelos
20/03/2020 22:20:55,Eu concordo,33,Brasil,UFG/IBC - Instituto Brasileiro de Coaching,Estudante de Graduação,Desenvolvedor de software,Masculino,5 anos a 10 anos,5 anos a 10 anos,Eu uso raramente,Eu uso raramente,Eu não sei,5,<<service>> : PluckService,3,2,2,Achei meio lenta e confusa a animação e nomenclatura dos elementos.,Eu não sei,5,Eu não sei,5,2,2,Mesma situação do cenário anterior.,Ter a animação acredito que ajuda a ilustrar uma linha de execução de forma mais clara.,Notação um pouco confusa.,Uma lista contendo os comandos que estão sendo executados linha a linha.,Melhor entendimento do fluxo de um sistema. Detectar bugs ou fluxos errados.,Não.
24/03/2020 12:49:22,Eu concordo,30,Brasil,UFMS,Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,Nenhuma,Eu faço uso de vez em quando,Eu nunca usei antes,Não,4,<<service>> : PluckService,4,3,4,"Em relação ao modelo, minha dificuldade está relacionada à minha falta de conhecimentos sobre o assunto. Outro ponto que me incomodou, mas não dificultou, foi no vídeo os módulos estarem em português e no formulário em inglês.",Tentará executar o comando rollback(),4,Sim,5,5,5,,Modelos executáveis proveem uma visão ampla do problema e solução,Pode ser necessário diversas execuções para o melhor entendimento,"Considerando o modelo apresentado, as possíveis transições poderiam ser apresentadas em segundo plano.","Tais modelos poderiam ser usados para definição, execução e acompanhamento de atividades","Os rótulos dos vídeos poderiam estar em inglês também. No primeiro caso, foi mencionado CAPTCHA e foi necessário que fizesse uma suposição de presença do mesmo."
27/03/2020 13:18:35,Eu concordo,27,brasil,agropecuaria,Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu uso raramente,Eu nunca usei antes,Eu não sei,1,Eu não sei,1,1,1,,Eu não sei,1,Eu não sei,1,1,1,,,,,,
28/03/2020 20:26:54,Eu concordo,21,Brasil,Fug,Estudante de Graduação,Estoquista e graduando,Masculino,1 ano a 5 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu uso frequentemente,SIm,4,<<javascript>> :Comments,4,3,2,,Tentará executar o comando commit(),2,Não,5,4,4,,,,,,
28/03/2020 21:16:44,Eu concordo,41,Brasil,Cambary,Graduação,Autônomo,Masculino,1 ano a 5 anos,5 anos a 10 anos,Eu uso raramente,Eu faço uso de vez em quando,SIm,3,<<javascript>> :Comments,3,3,3,,Tentará executar o comando rollback(),3,Sim,3,3,3,,,,,,
08/08/2020 18:08:23,Eu concordo,41,brasil,unirio,Estudante de Doutorado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Feminino,1 ano a 5 anos,mais de 20 anos,Eu uso raramente,Eu uso raramente,Não,4,Eu não sei,2,3,3,,Eu não sei,3,Eu não sei,3,3,3,,,,,,